producto_url,nombre,precio_lista_habitual,precio_oferta_final,precio_sin_impuestos,memoria_ram,camara_frontal,fecha_scrapeo,Tipo de pantalla,Tamaño de la pantalla,Resistente al agua,Velocidad de la CPU,Tipo de procesador,Batería,Cámara trasera,Dual SIM,Memoria externa incluida,Carga rápida,Lector de huella,Conexión Bluetooth,NFC,GPS integrado,Información adicional,Tecnología AI
https://www.cetrogar.com.ar/celular-samsung-galaxy-a36-5g-6-7-8-256-gb-awesome-black.html,"Celular Samsung Galaxy A36 6.7"" 5G 8GB 256GB Awesome Black",$779.999,$642.999,$531.404,8GB,12.0 MP,2025-06-25,Super AMOLED,"6.7""",Sí,"2.4GHz,1.8GHz",Octa Core,5.000 mAh,50.0 MP + 8.0 MP + 5.0 MP,No,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-realme-12-pro-5g-6-7-8-256gb-navigator-beige.html,"Celular Realme 12 PRO 5G 6.7"" 8GB 256GB Navigator Beige",$4.119,$649.999,$537.189,8GB,16 MP,2025-06-25,Full HD + Super AMOLED,"6.7""",No,,Octa Core,5000 mAh,50+8+32,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-realme-12-pro-5g-6-7-8-256gb-submarine-blue.html,"Celular Realme 12 PRO 5G 6.7"" 8GB 256GB Submarine Blue",$24.499,$649.999,$537.189,8GB,16 MP,2025-06-25,Full HD + Super AMOLED,"6.7""",No,,Octa Core,5000 mAh,50+8+32,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-samsung-galaxy-a26-5g-6-7-8gb-256gb-mint.html,"Celular Samsung Galaxy A26 5G 6.7"" 8GB 256GB Mint",,$699.999,$578.511,8GB,13.0 MP,2025-06-25,AMOLED,"6.7""",Sí,"2.4GHz,2GHz",Octa Core,5.000 mAh,50.0 MP + 8.0 MP + 2.0 MP,No,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-samsung-galaxy-a26-5g-6-7-8gb-256gb-white.html,"Celular Samsung Galaxy A26 5G 6.7"" 8GB 256GB White",$389.999,$699.999,$578.511,8GB,13.0 MP,2025-06-25,AMOLED,"6.7""",Sí,"2.4GHz,2GHz",Octa Core,5.000 mAh,50.0 MP + 8.0 MP + 2.0 MP,No,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-infinix-note-40-pro-6-78-8-256gb-vintage-green.html,"Celular Infinix Note 40 Pro 6.78"" 8GB 256GB Vintage green",$779.999,$699.999,$578.511,8GB,32MP,2025-06-25,AMOLED,"6.78""",No,2x2.2 GHz Cortex,Octa Core,5000Mhz,108MP OIS+2MP+2MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-infinix-note-40-pro-6-78-8-256gb-obsidian-black.html,"Celular Infinix Note 40 Pro 6.78"" 8GB 256GB Obsidian black",$779.999,$699.999,$578.511,8GB,32MP,2025-06-25,AMOLED,"6.78""",No,2x2.2 GHz Cortex,Octa Core,5000Mhz,108MP OIS+2MP+2MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-samsung-galaxy-a56-5g-6-7-8-256-gb-awesome-lightgray.html,"Celular Samsung Galaxy A56 6.7""5G 8GB 256GB Awesome Lightgray",$929.999,$765.999,$633.057,8GB,12.0 MP,2025-06-25,Super AMOLED,"6.7""",Sí,"2.9GHz,2.6GHz,1.9GHz",Octa Core,5.000 mAh,50.0 MP + 12.0 MP + 5.0 MP,No,No,Sí,Sí,Sí,No,Sí,SIM 1 + eSIM,
https://www.cetrogar.com.ar/celular-samsung-galaxy-a36-5g-6-7-8-256-gb-awesome-lavender.html,"Celular Samsung Galaxy A36 6.7"" 5G 8GB 256GB Awesome Lavender",$389.999,$779.999,$644.627,8GB,12.0 MP,2025-06-25,Super AMOLED,"6.7""",Sí,"2.4GHz,1.8GHz",Octa Core,5.000 mAh,50.0 MP + 8.0 MP + 5.0 MP,No,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-oppo-reno-12f-6-7-12gb-256gb-naranja.html,"Celular OPPO RENO 12F 6.7"" 12GB 256GB naranja",$899.999,$799.999,$661.156,12GB,32 MP,2025-06-25,OLED,"6.7""",No,8 nucleos,Octa Core,5100 mAh,50+ 8 + 2 MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
